DOE No., Pt_in [Pa], Pt_out [Pa], del_Pt [Pa], Head[m], VolumeFlowRate, RPM, Torque [N m], Eff [%]
0, -0.604756891727448, 19584.251953125, 19584.857421875, 1.99709963798523, 30.100715637207, 1466.00012207031, -1.90829753875732, 55.8966865539551
1, -2.33826184272766, 57081.06640625, 57083.40625, 5.82088708877563, 34.2999572753906, 1725, -3.89353275299072, 77.3284606933594
2, 0.827829897403717, 91216.8046875, 91215.9765625, 9.30144023895264, 25.2000102996826, 1377, -4.7713098526001, 92.8044815063477
3, -3.85191059112549, 86813.6875, 86817.5390625, 8.85292530059814, 43.4005508422852, 1641, -7.19975280761719, 84.5951309204102
4, -0.989376366138458, 16607.248046875, 16608.23828125, 1.69356894493103, 45.8998832702637, 1256, -3.02196788787842, 53.2751312255859
5, -0.109096936881542, 22964.408203125, 22964.517578125, 2.34172892570496, 36.7000160217285, 1412.00012207031, -2.72278165817261, 58.149356842041
6, -0.955203950405121, 34752.15625, 34753.11328125, 3.54383111000061, 45.5002021789551, 1413.00012207031, -4.54370021820068, 65.3317184448242
7, -0.770022034645081, 17245.26171875, 17246.03125, 1.75860571861267, 40.1000175476074, 1452, -2.2594108581543, 55.9166069030762
8, -1.35644483566284, 77127.078125, 77128.4375, 7.8649115562439, 38.8020133972168, 1230, -7.2106032371521, 89.5078125
9, 0.577465653419495, 78613.8359375, 78613.2578125, 8.01632118225098, 34.7000541687012, 1003, -7.65905475616455, 94.1930084228516
10, -1.07675349712372, 104180.5078125, 104181.5859375, 10.6235647201538, 36.0020065307617, 1512, -7.24396705627441, 90.836051940918
11, 0.354303658008575, 66980.5546875, 66980.203125, 6.83007955551147, 23.3001308441162, 1148, -3.89677000045776, 92.5394744873047
12, -3.73841881752014, 101422.7109375, 101426.453125, 10.3426198959351, 46.4059143066406, 1608, -8.96340084075928, 86.6232681274414
13, -1.02033197879791, 43347.05859375, 43348.078125, 4.42027378082275, 34.6985816955566, 1144, -4.25495386123657, 81.965217590332
14, -2.45617699623108, 56549.1796875, 56551.63671875, 5.76666164398193, 41.1019134521484, 1330, -5.68754291534424, 81.5079116821289
15, 5.74168014526367, 112129.1171875, 112123.375, 11.4334020614624, 17.3997974395752, 1128, -4.74495553970337, 96.6869735717773
